date,holiday
January 1 2012,New Years Day
January 2 2012,Day After New Years
January 16 2012,Birthday of Martin Luther King Jr.
February 14 2012,Valentines Day
February 20 2012,Washington's Birthday
April 8 2012,Easter
May 28 2012,Memorial Day
July 4 2012,Independence Day
September 3 2012,Labor Day
October 8 2012,Columbus Day
November 12 2012,Veterans Day
November 22 2012,Thanksgiving 
December 25 2012,Christmas Day
December 26 2012,Day After Christmas
December 31 2012,New Years Eve
January 1 2013,New Years Day
January 2 2013,Day After New Years
January 21 2013,Birthday of Martin Luther King Jr.
March 31 2013,Easter
February 14 2013,Valentines Day
February 18 2013,Washington's Birthday
May 27 2013,Memorial Day
July 4 2013,Independence Day
September 2 2013,Labor Day
October 14 2013,Columbus Day
November 11 2013,Veterans Day
November 28 2013,Thanksgiving
December 25 2013,Christmas Day
December 26 2013,Day After Christmas
December 31 2013,New Years Eve
